# Georgetown GUTS - Dupont Circle Shuttle, weekday timetable
# Source: https://transportation.georgetown.edu/guts/dupont/
# Retrieved: 2026-08-28
#
# Columns: BTA departure | Lombardi departure | Dupont | arrive BTA | arrive Lombardi
# A trip departs from either BTA or Lombardi; the other cell is an en dash.
# Reproduced verbatim, including the source's own errors.

BTA      | Lombardi | Dupont   | Arrive BTA | Lombardi
–        | 6:00 AM  | 6:20 AM  | –          | 6:40 AM
6:05 AM  | –        | 6:25 AM  | 6:45 AM    | –
–        | 6:10 AM  | 6:30 AM  | –          | 6:50 AM
6:15 AM  | –        | 6:35 AM  | 6:55 AM    | –
–        | 6:20 AM  | 6:40 AM  | –          | 7:00 AM
6:25 AM  | –        | 6:45 AM  | 7:05 AM    | –
–        | 6:30 AM  | 6:50 AM  | –          | 7:10 AM
6:35 AM  | –        | 6:55 AM  | 7:15 AM    | –
–        | 6:40 AM  | 7:00 AM  | –          | 7:20 AM
6:45 AM  | –        | 7:05 AM  | 7:25 AM    | –
–        | 6:50 AM  | 7:10 AM  | –          | 7:30 AM
6:55 AM  | –        | 7:15 AM  | 7:35 AM    | –
–        | 7:00 AM  | 7:20 AM  | –          | 7:40 AM
7:05 AM  | –        | 7:25 AM  | 7:45 AM    | –
–        | 7:10 AM  | 7:30 AM  | –          | 7:50 AM
7:15 AM  | –        | 7:35 AM  | 7:55 AM    | –
–        | 7:20 AM  | 7:40 AM  | –          | 8:00 AM
7:25 AM  | –        | 7:45 AM  | 8:05 AM    | –
–        | 7:30 AM  | 7:50 AM  | –          | 8:10 AM
7:35 AM  | –        | 7:55 AM  | 8:15 AM    | –
–        | 7:40 AM  | 8:00 AM  | –          | 8:20 AM
7:45 AM  | –        | 8:05 AM  | 8:25 AM    | –
–        | 7:50 AM  | 8:10 AM  | –          | 8:30 AM
7:55 AM  | –        | 8:15 AM  | 8:35 AM    | –
–        | 8:00 AM  | 8:20 AM  | –          | 8:40 AM
8:05 AM  | –        | 8:25 AM  | 8:45 AM    | –
–        | 8:10 AM  | 8:30 AM  | –          | 8:50 AM
8:15 AM  | –        | 8:35 AM  | 8:55 AM    | –
–        | 8:20 AM  | 8:40 AM  | –          | 9:00 AM
8:25 AM  | –        | 8:45 AM  | 9:05 AM    | –
–        | 8:30 AM  | 8:50 AM  | –          | 9:10 AM
8:35 AM  | –        | 8:55 AM  | 9:15 AM    | –
–        | 8:40 AM  | 9:00 AM  | –          | 9:20 AM
8:45 AM  | –        | 9:05 AM  | 9:25 AM    | –
–        | 8:50 AM  | 9:10 AM  | –          | 9:30 AM
8:55 AM  | –        | 9:15 AM  | 9:35 AM    | –
–        | 9:00 AM  | 9:20 AM  | –          | 9:40 AM
9:05 AM  | –        | 9:25 AM  | 9:45 AM    | –
–        | 9:10 AM  | 9:30 AM  | –          | 9:50 AM
9:15 AM  | –        | 9:35 AM  | 9:55 AM    | –
–        | 9:20 AM  | 9:40 AM  | –          | 10:00 AM
9:25 AM  | –        | 9:45 AM  | 10:05 AM   | –
–        | 9:30 AM  | 9:50 AM  | –          | 10:10 AM
9:35 AM  | –        | 9:55 AM  | 10:15 AM   | –
–        | 9:40 AM  | 10:00 AM | –          | 10:20 AM
9:45 AM  | –        | 10:05 AM | 10:25 AM   | –
–        | 9:50 AM  | 10:10 AM | –          | 10:30 AM
9:55 AM  | –        | 10:15 AM | 10:35 AM   | –
10:05 AM | –        | 10:25 AM | 10:45 AM   | –
–        | 10:25 AM | 10:45 AM | –          | 11:05 AM
10:45 AM | –        | 11:05 AM | 11:55 AM   | –
–        | 11:05 AM | 11:25 AM | –          | 11:55 AM
